@RELATION goodreads_nlp
	@ATTRIBUTE text  string
	@ATTRIBUTE class        {art,fiction,history,music,religion,romance,science,travel}
@DATA
"Ways of Seeing (Paperback)",art
"The Story of Art (Hardcover)",art
"The New Drawing on the Right Side of the Brain (Paperback)",art
"Steal Like an Artist: 10 Things Nobody Told You About Being Creative (Paperback)",art
"Wall and Piece (Paperback)",art
"The Artist's Way (Paperback)",art
"Girl with a Pearl Earring (Paperback)",art
"The Art Book (Paperback)",art
"Art and Fear: Observations on the Perils (and Rewards) of Artmaking",art
"Seven Days in the Art World (Paperback)",art
"Concerning the Spiritual in Art (Paperback)",art
"The Goldfinch (Hardcover)",art
"The Letters of Vincent van Gogh (Paperback)",art
"History of Beauty (Hardcover)",art
"Understanding Comics: The Invisible Art (Paperback)",art
"M.C. Escher: The Graphic Work (Paperback)",art
"Color: A Natural History of the Palette (Paperback)",art
"On Photography (Paperback)",art
"The Diary of Frida Kahlo: An Intimate Self-Portrait (Hardcover)",art
"The Art Forger (Hardcover)",art
"Art Through the Ages  (Hardcover)",art
"The Shock of the New (Paperback)",art
"History of Art (Hardcover)",art
"The War of Art: Break Through the Blocks & Win Your Inner Creative Battles (Paperback)",art
"Just Kids (Hardcover)",art
"The Agony and the Ecstasy (Mass Market Paperback)",art
"Leonardo's Notebooks (Hardcover)",art
"Leonardo's Notebooks (Hardcover)",art
"The Lives of the Artists (Paperback)",art
"Vincent Van Gogh: The Complete Paintings (Hardcover)",art
"An Illustrated Life: Drawing Inspiration From The Private Sketchbooks Of Artists, Illustrators And Designers (Paperback)",art
"Michelangelo and the Pope's Ceiling (Paperback)",art
"Faeries (Hardcover)",art
"PostSecret: Extraordinary Confessions from Ordinary Lives (PostSecret)",art
"Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered (Paperback)",art
"The Judgment of Paris: The Revolutionary Decade That Gave the World Impressionism (Paperback)",art
"The Philosophy of Andy Warhol (From A to B and Back Again)",art
"Griffin and Sabine (Griffin & Sabine #1)",art
"The Dot (Hardcover)",art
"Leonardo da Vinci (Hardcover)",art
"Color and Light: A Guide for the Realist Painter (Paperback)",art
"On Ugliness (Hardcover)",art
"Frida: A Biography of Frida Kahlo (Paperback)",art
"Figure Drawing for All It's Worth (How to draw and paint)",art
"The Art Spirit: Notes, Articles, Fragments of Letters and Talks to Students, Bearing on the Concept and Technique of Picture Making, the Study of Art (Icon Editions)",art
"Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture (Paperback)",art
"Interaction of Color (Paperback)",art
"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History (Hardcover)",art
"Camera Lucida: Reflections on Photography (Paperback)",art
"The Power of Art (Hardcover)",art
"Amphigorey (Amphigorey, #1)",art
"Andy Goldsworthy: A Collaboration with Nature (Hardcover)",art
"The Da Vinci Code (Robert Langdon, #2)",art
"Gustav Klimt: 1862-1918 (Paperback)",art
"The Lost Painting (Paperback)",art
"Lust for Life (Paperback)",art
"The Creative License: Giving Yourself Permission to Be The Artist You Truly Are (Paperback)",art
"The Natural Way to Draw (Paperback)",art
"An Object of Beauty (Hardcover)",art
"The Hare With Amber Eyes: A Family's Century of Art and Loss (Hardcover)",art
"The Creative Habit: Learn It and Use It for Life (Paperback)",art
"Imaginative Realism: How to Paint What Doesn't Exist (Paperback)",art
"Art and Illusion: A Study in the Psychology of Pictorial Representation (Paperback)",art
"Good Faeries Bad Faeries (Hardcover)",art
"Girl in Hyacinth Blue (Paperback)",art
"Big Magic: Creative Living Beyond Fear (Hardcover)",art
"The Birth of Venus (Paperback)",art
"The Lonely City: Adventures in the Art of Being Alone (Hardcover)",art
"Keys to Drawing (Paperback)",art
"Make Good Art (Hardcover)",art
"I'll Give You the Sun (Hardcover)",art
"The Lady in Gold: The Extraordinary Tale of Gustav Klimt's Masterpiece, Portrait of Adele Bloch-Bauer (Kindle Edition)",art
"Sabine's Notebook (Griffin & Sabine #2)",art
"The Principles of Uncertainty (Paperback)",art
"The Gashlycrumb Tinies (The Vinegar Works, #1)",art
"Dear Theo (Paperback)",art
"Ish (Hardcover)",art
"The $12 Million Stuffed Shark: The Curious Economics of Contemporary Art (Hardcover)",art
"Daily Rituals: How Artists Work (Hardcover)",art
"Art as Experience (Paperback)",art
"The Painted Word (Paperback)",art
"Codex Seraphinianus. Ein Orbis Pictus des Universums der Phantasie. (Hardcover)",art
"The Arrival (Hardcover)",art
"The Secret Art of Dr. Seuss (Hardcover)",art
"Humans of New York (Hardcover)",art
"Art Forms in Nature (Paperback)",art
"Art as Therapy (Hardcover)",art
"Caravaggio: A Life Sacred and Profane (Hardcover)",art
"Radiant Child: The Story of Young Artist Jean-Michel Basquiat (Hardcover)",art
"Just My Type: A Book About Fonts (Hardcover)",art
"Art and Visual Perception: A Psychology of the Creative Eye (Paperback)",art
"The 20th Century Art Book (Paperback)",art
"Art Matters (Kindle Edition)",art
"Making Comics: Storytelling Secrets of Comics, Manga and Graphic Novels (Paperback)",art
"Dali (Capa dura)",art
"The Passion of Artemisia (Paperback)",art
"Art in Theory 1900 - 2000: An Anthology of Changing Ideas (Paperback)",art
"The Noisy Paint Box (Hardcover)",art
"The Secret Lives of Color (Hardcover)",art
"The Rape of Europa: The Fate of Europe's Treasures in the Third Reich and the Second World War (Paperback)",art
"Drawing the Head and Hands (Hardcover)",art
"Salvador Dalí: 1904-1989 (Hardcover)",art
"Picture This: How Pictures Work (Hardcover)",art
"Atlas of Human Anatomy for the Artist (Paperback)",art
"Sacré Bleu (Kindle Edition)",art
"Maybe Something Beautiful: How Art Transformed a Neighborhood (Hardcover)",art
"What It Is (Hardcover)",art
"Gnomes (Hardcover)",art
"In Praise of Shadows (Paperback)",art
"The Last Painting of Sara de Vos (Hardcover)",art
"The Golden Mean (Griffin & Sabine #3)",art
"Frida Kahlo: 1907-1954 Pain and Passion (Paperback)",art
"Leonardo da Vinci: The Complete Paintings and Drawings (Hardcover)",art
"What Are You Looking At?: 150 Years of Modern Art in a Nutshell (Hardcover)",art
"The Swan Thieves (Hardcover)",art
"The Magic Mirror of M.C. Escher (Hardcover)",art
"Anatomy for the Artist (Hardcover)",art
"The Story of Painting (Hardcover)",art
"Chasing Vermeer (Chasing Vermeer, #1)",art
"Anatomy for the Artist (Spiral-bound)",art
"Art & Max (Hardcover)",art
"The Photo Book (Hardcover)",art
"The Lady and the Unicorn (Paperback)",art
"The Singing Bones (Hardcover)",art
"Wabi-Sabi: For Artists, Designers, Poets & Philosophers (Paperback)",art
"The Forger's Spell: A True Story of Vermeer, Nazis, and the Greatest Art Hoax of the Twentieth Century (Hardcover)",art
"The Man Who Made Vermeers: Unvarnishing the Legend of Master Forger Han van Meegeren (Hardcover)",art
"A Splash of Red: The Life and Art of Horace Pippin (Hardcover)",art
"History of Modern Art: Painting Sculpture Architecture Photography (Paperback)",art
"The Day the Crayons Quit (Hardcover)",art
"Priceless: How I Went Undercover to Rescue the World's Stolen Treasures (Hardcover)",art
"The Gardner Heist: The True Story of the World's Largest Unsolved Art Theft (Hardcover)",art
"ARh+ (Paperback)",art
"The Animator's Survival Kit: A Manual of Methods, Principles, and Formulas for Classical, Computer, Games, Stop Motion and Internet Animators (Paperback)",art
"Gödel, Escher, Bach: An Eternal Golden Braid (Paperback)",art
"Lady Cottington's Pressed Fairy Book (Hardcover)",art
"A Piece of the World (ebook)",art
"The Iridescence of Birds: A Book About Henri Matisse (Hardcover)",art
"Drawing Lessons from the Great Masters: 100 Great Drawings Analyzed, Figure Drawing Fundamentals Defined (Paperback)",art
"The Painted Girls (Hardcover)",art
"The Practice and Science of Drawing (Paperback)",art
"I Ain't Gonna Paint No More! (Hardcover)",art
"Wreck This Journal (Paperback)",art
"The Illusion of Life: Disney Animation (Hardcover)",art
"Drawing the Head and Figure (Paperback)",art
"The Lord of the Rings Sketchbook (Hardcover)",art
"From the Mixed-Up Files of Mrs. Basil E. Frankweiler (Paperback)",art
"Zen of Seeing: Seeing/Drawing as Meditation (Paperback)",art
"The Work of Art in the Age of Its Technological Reproducibility, and Other Writings on Media (Paperback)",art
"Edvard Munch: 1863-1944 (Basic Art)",art
"Luncheon of the Boating Party (Hardcover)",art
"Art Before Breakfast: A Zillion Ways to be More Creative No Matter How Busy You Are (Paperback)",art
"The Elements of Color (Hardcover)",art
"Vincent and Theo: The Van Gogh Brothers (Kindle Edition)",art
"The Yellow House: Van Gogh, Gauguin, and Nine Turbulent Weeks in Arles (Hardcover)",art
"Painting and Experience in Fifteenth-Century Italy: A Primer in the Social History of Pictorial Style (Paperback)",art
"How to Be an Explorer of the World: Portable Life Museum (Paperback)",art
"About Looking (Paperback)",art
"Bridgman's Complete Guide to Drawing From Life: Over 1,000 Illustrations (Paperback)",art
"Vitamin D: New Perspectives in Drawing (Hardcover)",art
"Diane Arbus: Monograph (Paperback)",art
"What Is Art? (Hardcover)",art
"Egon Schiele, 1890-1918: The Midnight Soul of the Artist (Paperback)",art
"Leonora Carrington: Surrealism, Alchemy and Art (Hardcover)",art
"Drawing Lab for Mixed-Media Artists: 52 Creative Exercises to Make Drawing Fun (Paperback)",art
"The Moon and Sixpence (Paperback)",art
"The Annotated Mona Lisa: A Crash Course in Art History from Prehistoric to Post-Modern (Paperback)",art
"Dynamic Figure Drawing (Paperback)",art
"The Doré Illustrations for Dante's Divine Comedy (Paperback)",art
"The Picture of Dorian Gray (Paperback)",art
"Leonardo and the Last Supper (Hardcover)",art
"The Art of Amy Brown (Paperback)",art
"Nothing If Not Critical: Selected Essays on Art and Artists (Paperback)",art
"But is It Art?: An Introduction to Art Theory (Paperback)",art
"Women, Art, and Society (World of Art)",art
"Rembrandt's Eyes (Hardcover)",art
"1,000 Artist Journal Pages: Personal Pages and Inspirations (Paperback)",art
"The Art of Howl's Moving Castle (Hardcover)",art
"The Art of Discworld (Paperback)",art
"Hopper (Paperback)",art
"Comics and Sequential Art (Paperback)",art
"The Art of Looking Sideways (Hardcover)",art
"Artist's Journal Workshop: Creating Your Life in Words and Pictures (Paperback)",art
"How to Draw Comics the Marvel Way (Paperback)",art
"Walk Through Walls: A Memoir (Hardcover)",art
"A History of the World in 100 Objects (Hardcover)",art
"Creative Illustration (Hardcover)",art
"The Age of Insight: The Quest to Understand the Unconscious in Art, Mind, and Brain from Vienna 1900 to the Present (Hardcover)",art
"Strapless: John Singer Sargent and the Fall of Madame X (Paperback)",art
"My Secret: A PostSecret Book (Hardcover)",art
"Drawing Dynamic Hands (Paperback)",art
"Amphigorey Also (Amphigorey, #3)",art
"Une Semaine de Bonté (Paperback)",art
"Drawn Together (Hardcover)",art
"Masters of Deception: Escher, Dali, and the Artists of Optical Illusion (Hardcover)",art
"The Private Lives of the Impressionists (Hardcover)",art
"The Invention of Hugo Cabret (Hardcover)",art
"The Rescue Artist: A True Story of Art, Thieves, and the Hunt for a Missing Masterpiece (Hardcover)",art
"The Art of Urban Sketching: Drawing On Location Around The World (Paperback)",art
"Bosch (Paperback)",art
"Isms: Understanding Art (Turtleback)",art
"Goya (Paperback)",art
"Mix It Up (Interactive Books for Toddlers, Learning Colors for Toddlers, Preschool and Kindergarten Reading Books)",art
"Linnea in Monet's Garden  (Hardcover)",art
"Beautiful Oops! (Hardcover)",art
"Monet (Paperback)",art
"Secret Knowledge: Rediscovering the Lost Techniques of the Old Masters (Paperback)",art
"The Art of Spirited Away (Hardcover)",art
"Unexpected Journeys: The Art and Life of Remedios Varo (Hardcover)",art
"Against Interpretation and Other Essays (Paperback)",art
"Playing to the Gallery (Hardcover)",art
"Clara and Mr. Tiffany (Hardcover)",art
"Alla Prima: Everything I Know about Painting (Hardcover)",art
"Regarding the Pain of Others (Paperback)",art
"Air Guitar: Essays on Art and Democracy (Paperback)",art
"Keeping an Eye Open: Essays on Art (Paperback)",art
"Viva Frida (Hardcover)",art
"The Art Instinct: Beauty, Pleasure, and Human Evolution (Hardcover)",art
"My Name Is Red (Paperback)",art
"How to Draw What You See (Paperback)",art
"Amphigorey Too (Amphigorey, #2)",art
"Portrait of an Artist: A Biography of Georgia O'Keeffe (Paperback)",art
"Sky Color (Hardcover)",art
"Art History (Hardcover)",art
"The Artist's Complete Guide to Figure Drawing: A Contemporary Master Reveals the Secrets of Drawing the Human Form (Paperback)",art
"Necronomicon (Hardcover)",art
"Grapefruit: A Book of Instructions and Drawings (Hardcover)",art
"J.W. Waterhouse (Hardcover)",art
"The Work of Art in the Age of Mechanical Reproduction (Paperback)",art
"Syllabus: Notes from an Accidental Professor (Paperback)",art
"How to be both (Kindle Edition)",art
"Drawing from Memory (Hardcover)",art
"The Art of Tangled (Hardcover)",art
"Drawing From Life: The Journal as Art (Paperback)",art
"The Complete Woodcuts of Albrecht Dürer (Paperback)",art
"Graffiti World: Street Art from Five Continents (Hardcover)",art
"The Artist's Complete Guide to Facial Expression (Hardcover)",art
"The Poetics of Space (Paperback)",art
"Everyday Matters (Paperback)",art
"The Gift: Imagination and the Erotic Life of Property (Paperback)",art
"You Are Here: Personal Geographies and Other Maps of the Imagination (Paperback)",art
"A Lifetime of Secrets: A PostSecret Book (Hardcover)",art
